PROVINCIA;VOTOS_P1;VOTOS_P2
CHACHAPOYAS;115;87
CHACHAPOYAS;71;58
CHACHAPOYAS;71;50
CHACHAPOYAS;66;105
CHACHAPOYAS;125;87
BAGUA;112;51
CHACHAPOYAS;90;101
CHACHAPOYAS;93;34
CHACHAPOYAS;113;54
CHACHAPOYAS;116;58
BAGUA;103;72
BAGUA;128;55
BAGUA;121;53
BAGUA;154;56
BONGARA;115;65
BAGUA;151;76
BAGUA;139;91
BAGUA;126;15
BAGUA;74;12
BONGARA;120;27
BONGARA;117;55
BONGARA;126;61
BONGARA;108;47
BONGARA;52;16
BONGARA;100;75
BONGARA;122;70
RODRIGUEZ DE MENDOZA;83;68
RODRIGUEZ DE MENDOZA;94;56
LUYA;75;78
LUYA;72;71
LUYA;61;71
LUYA;77;73
CONDORCANQUI;100;8
RODRIGUEZ DE MENDOZA;59;65
CONDORCANQUI;115;30
UTCUBAMBA;121;67
CONDORCANQUI;90;11
CONDORCANQUI;78;10
UTCUBAMBA;123;56
UTCUBAMBA;122;74
UTCUBAMBA;134;74
UTCUBAMBA;155;94
UTCUBAMBA;109;86
UTCUBAMBA;131;69
UTCUBAMBA;143;71
UTCUBAMBA;160;78
UTCUBAMBA;122;57
UTCUBAMBA;124;60
UTCUBAMBA;145;58
UTCUBAMBA;140;71
UTCUBAMBA;96;42
LUYA;78;86
LUYA;38;50
LUYA;31;66
RODRIGUEZ DE MENDOZA;133;41
RODRIGUEZ DE MENDOZA;131;46
CONDORCANQUI;145;18
CONDORCANQUI;171;7
BAGUA;54;57
BAGUA;66;57
BONGARA;89;117
ARGENTINA;27;53
ARGENTINA;37;54
CONDORCANQUI;126;
CONDORCANQUI;106;
CONDORCANQUI;92;2
CONDORCANQUI;73;8
CONDORCANQUI;;
CONDORCANQUI;163;1
CONDORCANQUI;163;3
CONDORCANQUI;131;2
UTCUBAMBA;71;60
UTCUBAMBA;118;61
UTCUBAMBA;142;30
UTCUBAMBA;141;57
ARGENTINA;72;49
ARGENTINA;50;37
ARGENTINA;23;66
ARGENTINA;31;68
ARGENTINA;34;51
ARGENTINA;61;64
ARGENTINA;;
ARGENTINA;44;58
ARGENTINA;43;47
ARGENTINA;63;46
ARGENTINA;55;39
ARGENTINA;24;51
ARGENTINA;11;67
ARGENTINA;40;55
ARGENTINA;37;56
ARGENTINA;30;67
ARGENTINA;38;58
ARGENTINA;24;61
ARGENTINA;40;55
ARGENTINA;36;54
ARGENTINA;51;51
ARGENTINA;30;68
ARGENTINA;34;61
ARGENTINA;43;62
ESTADOS UNIDOS DE AMERICA;18;75
ESTADOS UNIDOS DE AMERICA;11;77
ESTADOS UNIDOS DE AMERICA;10;70
ESTADOS UNIDOS DE AMERICA;;
ESTADOS UNIDOS DE AMERICA;25;77
ESTADOS UNIDOS DE AMERICA;18;72
ESTADOS UNIDOS DE AMERICA;15;54
ESTADOS UNIDOS DE AMERICA;27;71
ESTADOS UNIDOS DE AMERICA;11;44
ESTADOS UNIDOS DE AMERICA;17;59
ESTADOS UNIDOS DE AMERICA;24;55
ESTADOS UNIDOS DE AMERICA;9;84
ESTADOS UNIDOS DE AMERICA;21;49
ESTADOS UNIDOS DE AMERICA;12;45
ESTADOS UNIDOS DE AMERICA;21;52
ESTADOS UNIDOS DE AMERICA;15;67
ESTADOS UNIDOS DE AMERICA;16;68
ESTADOS UNIDOS DE AMERICA;4;100
ESTADOS UNIDOS DE AMERICA;11;80
ESTADOS UNIDOS DE AMERICA;23;72
ESTADOS UNIDOS DE AMERICA;8;100
ESTADOS UNIDOS DE AMERICA;15;49
ESTADOS UNIDOS DE AMERICA;11;63
ESTADOS UNIDOS DE AMERICA;22;58
ESTADOS UNIDOS DE AMERICA;17;75
ESTADOS UNIDOS DE AMERICA;21;64
ESTADOS UNIDOS DE AMERICA;20;67
ESTADOS UNIDOS DE AMERICA;9;98
ESTADOS UNIDOS DE AMERICA;24;51
ESTADOS UNIDOS DE AMERICA;14;63
ESTADOS UNIDOS DE AMERICA;26;77
ESTADOS UNIDOS DE AMERICA;19;78
ESTADOS UNIDOS DE AMERICA;12;75
ESTADOS UNIDOS DE AMERICA;3;114
ESTADOS UNIDOS DE AMERICA;20;79
ESTADOS UNIDOS DE AMERICA;22;85
ESTADOS UNIDOS DE AMERICA;19;67
ESTADOS UNIDOS DE AMERICA;19;30
ESTADOS UNIDOS DE AMERICA;9;35
ESTADOS UNIDOS DE AMERICA;14;72
ESTADOS UNIDOS DE AMERICA;22;67
ESTADOS UNIDOS DE AMERICA;21;40
ESTADOS UNIDOS DE AMERICA;20;76
ESTADOS UNIDOS DE AMERICA;13;60
ESTADOS UNIDOS DE AMERICA;9;100
ESTADOS UNIDOS DE AMERICA;20;49
ESTADOS UNIDOS DE AMERICA;11;38
ESTADOS UNIDOS DE AMERICA;28;63
ESTADOS UNIDOS DE AMERICA;16;54
CHILE;19;48
CHILE;31;44
CHILE;50;73
ARGENTINA;52;78
BOLIVIA;23;59
CHILE;66;81
CHILE;48;75
BOLIVIA;60;71
CHILE;69;67
CHILE;58;83
CHILE;53;62
ESTADOS UNIDOS DE AMERICA;23;81
BRASIL;28;47
CHILE;50;65
CHILE;51;67
CHILE;63;77
CHILE;56;82
CHILE;46;75
BRASIL;36;44
CHILE;51;83
CHILE;66;75
BRASIL;39;42
BRASIL;47;52
CHILE;64;79
CHILE;51;84
CHILE;43;90
CHILE;42;86
CHILE;49;89
CHILE;81;71
ESTADOS UNIDOS DE AMERICA;24;77
BRASIL;11;20
BRASIL;16;10
CANADA;32;91
CANADA;27;79
CHILE;53;79
ESTADOS UNIDOS DE AMERICA;6;67
CANADA;25;85
CANADA;31;88
CHILE;67;53
ARGENTINA;52;69
ARGENTINA;61;58
CANADA;28;89
CANADA;25;94
CHILE;11;18
ECUADOR;27;103
CHILE;66;54
ECUADOR;31;60
ARGENTINA;59;54
COLOMBIA;43;91
ARGENTINA;64;67
ARGENTINA;48;84
BOLOGNESI;133;58
CASMA;95;93
CARHUAZ;158;59
HUARI;171;37
CARHUAZ;156;54
HUARI;140;35
HUARI;154;33
CASMA;90;121
CORONGO;97;82
CORONGO;123;64
PALLASCA;112;46
PALLASCA;138;39
PALLASCA;106;72
CARHUAZ;142;77
CARHUAZ;182;33
CARHUAZ;132;88
PALLASCA;96;86
CORONGO;39;65
HUARI;149;26
POMABAMBA;44;52
HUAYLAS;94;102
RECUAY;99;39
HUAYLAS;79;113
POMABAMBA;159;20
CARHUAZ;155;27
CARHUAZ;179;26
CARHUAZ;87;48
HUAYLAS;107;71
HUARI;155;44
CASMA;101;115
HUAYLAS;91;97
POMABAMBA;152;19
CASMA;77;132
HUAYLAS;67;73
HUAYLAS;89;69
BOLOGNESI;123;48
BOLOGNESI;130;76
CASMA;57;119
HUAYLAS;101;90
HUAYLAS;85;73
MARISCAL LUZURIAGA;145;28
CASMA;105;139
CASMA;98;147
MARISCAL LUZURIAGA;90;40
MARISCAL LUZURIAGA;83;46
MARISCAL LUZURIAGA;141;10
CASMA;64;157
PANAMA;30;104
PANAMA;27;110
HUARAZ;149;76
ESTADOS UNIDOS DE AMERICA;13;70
PARAGUAY;;
PARAGUAY;34;79
HUARAZ;135;77
HUARAZ;119;65
ESTADOS UNIDOS DE AMERICA;12;65
ESTADOS UNIDOS DE AMERICA;11;74
HUARAZ;52;11
HUARAZ;109;86
HUARAZ;132;82
HUARAZ;126;84
HUARAZ;131;87
HUARAZ;131;97
VENEZUELA;12;63
VENEZUELA;12;57
VENEZUELA;14;51
HUARAZ;157;76
HUARAZ;135;96
HUARAZ;92;89
HUARAZ;151;45
VENEZUELA;12;63
HUARAZ;134;81
HUARAZ;130;82
HUARAZ;93;45
HUARAZ;117;94
HUARAZ;92;116
VENEZUELA;11;44
VENEZUELA;9;37
ESTADOS UNIDOS DE AMERICA;20;81
ESTADOS UNIDOS DE AMERICA;8;95
HUARAZ;126;79
HUARAZ;109;77
HUARAZ;126;68
HUARAZ;104;72
HUARAZ;104;47
HUARAZ;149;82
HUARAZ;126;85
HUARAZ;120;76
HUARAZ;139;80
ESTADOS UNIDOS DE AMERICA;10;59
HUARAZ;98;32
HUARAZ;116;86
HUARAZ;127;87
HUARAZ;157;81
HUARAZ;147;72
HUARAZ;132;79
HUARAZ;146;72
ESTADOS UNIDOS DE AMERICA;22;77
ESTADOS UNIDOS DE AMERICA;33;68
HUARAZ;145;68
HUARAZ;162;64
HUARAZ;139;67
ESTADOS UNIDOS DE AMERICA;23;51
MEXICO;9;48
HUARAZ;147;87
MEXICO;19;79
HUARMEY;103;113
SANTA;107;125
HUARMEY;70;64
HUARMEY;81;107
SANTA;73;131
YUNGAY;158;47
OCROS;73;92
ANTONIO RAIMONDI;124;18
OCROS;81;67
OCROS;81;53
HUARAZ;126;53
HUARAZ;133;54
SANTA;67;149
SANTA;109;104
SANTA;103;112
SANTA;111;114
ANTONIO RAIMONDI;107;28
HUARI;159;35
HUARI;129;29
SIHUAS;108;46
CARLOS FERMIN FITZCARRALD;145;30
HUARAZ;99;66
SANTA;60;142
SANTA;117;125
CARLOS FERMIN FITZCARRALD;124;33
